connector_id,node_id,type,x,y,z,roi,confidence
1028,4325,post,211.37198007845078,76.08925764760707,135.57986410147595,SCL(R),0.950317
1029,8287,post,173.62853458619372,109.4048942036982,138.26872708293024,PLP(R),0.868517
1030,7794,post,253.74662494091544,99.02161111123422,146.68854551303178,ICL(R),0.512273
1031,7793,post,253.75940155071032,99.03310529489467,146.69683648148532,ICL(R),0.592349
1032,8200,post,179.5898738604129,107.76558171880129,147.4895054120836,PLP(R),0.954119
1033,8263,post,180.1732243395797,107.84411693234841,147.85965321654703,PLP(R),0.928812
1034,9521,post,178.43805134053815,95.63059539266735,97.07079864558571,AVLP(R),0.83071
1035,9560,post,173.72971233824268,107.07363901367913,124.0504455911608,PLP(R),0.923213
1036,2700,post,231.39494825804906,72.59867204577677,115.43438630448118,SCL(R),0.46
1037,7576,post,219.0416754390293,110.80805806178374,145.55644750015455,PLP(R),0.503732
1038,8304,pre,172.46092488782546,109.10719129256738,136.65309095271863,PLP(R),0.778
1039,8294,pre,173.57440609366472,109.45053171677152,137.0180771260535,PLP(R),0.996
1040,8303,post,172.59623270177315,109.09385413606297,136.71936408991104,PLP(R),0.743834
1041,3101,post,237.59305158196867,68.00432335163416,126.98414608000061,SCL(R),0.516932
1042,8116,pre,172.92064884695128,110.00218283964786,138.32849231559584,PLP(R),0.995
1043,8039,post,179.2357636250939,109.27122886919769,142.2689765156263,PLP(R),0.969131
1044,8316,post,174.3919334398601,109.65911644737228,135.96890017701338,PLP(R),0.671092
1045,8318,post,174.4936602070642,109.87691909635825,135.98183258674314,PLP(R),0.88058
1046,9081,post,177.01034377509174,96.47452461716225,146.3782337102587,PLP(R),0.951162
1047,5541,post,210.42907240833543,118.76435634014757,147.3000823290028,PLP(R),0.348063
1048,3454,post,231.7809613484252,67.36898576076102,135.9082435283321,SCL(R),0.954195
1049,1199,post,190.136741853562,105.84988466684938,146.19171364097264,PLP(R),0.972
1050,6418,post,235.10894150029645,98.39509097450201,148.74982412757885,ICL(R),0.878408
1051,5967,post,198.58558585882133,93.86625229723263,151.3678076940264,PLP(R),0.913101
1052,1664,post,233.0083034195046,99.64713228803033,137.82303353614603,ICL(R),0.97164
1053,1664,post,233.01538510426076,100.04933081558099,137.79527722152665,ICL(R),0.982856
1054,361,post,198.53653321604787,109.84793655615128,130.86432268401958,PLP(R),0.65765
1055,7989,post,266.40290589643513,100.76908644128798,146.57741531598964,ICL(R),0.989821
1056,7984,post,266.97596561769274,100.52580673639972,146.8125454400623,ICL(R),0.751799
1057,2498,post,199.53886974038414,86.77897675902264,144.19243473468504,SCL(R),0.755634
1058,9129,post,219.8974361800243,106.77725693845572,149.80304470047128,PLP(R),0.932692
1059,7365,post,227.18828897328717,111.32023772055504,138.77466233964182,PLP(R),0.355
1060,1758,post,236.0928530173272,97.05590974967211,135.93569749967887,ICL(R),0.359938
1061,7365,post,227.19942912866046,111.27303258518833,138.73132311326694,PLP(R),0.4551726
1062,4305,post,214.5243548459967,66.67789082954576,136.8043582164901,SCL(R),0.969525
1063,1419,post,216.92478281514752,106.49733642942499,142.53712262851195,PLP(R),0.4778703
1064,1074,post,231.41827409665171,99.9312298060545,139.13156878176858,ICL(R),0.987487
1065,7362,post,227.22043210129777,110.88993984820527,138.59318494993133,PLP(R),0.941648
1066,4557,post,233.97559037884668,87.06557438481762,133.8798490515132,SCL(R),0.809937
1067,2718,post,225.02376124048203,71.91261971139775,111.19324688035718,SCL(R),0.682137
1068,4900,post,203.72072740318734,88.55955837428539,140.8916484141806,SCL(R),0.99544
1069,1899,post,242.38493346045004,70.28290093218408,128.06093381139004,SCL(R),0.89398
1070,3821,post,232.7268553604335,80.95309360490617,128.33988403613984,SCL(R),0.46551245
1071,1013,post,234.21230721203665,93.89150704342691,136.17582617652775,ICL(R),0.836056
1072,1019,post,234.89222650422386,93.33907139139401,136.11855936144312,ICL(R),0.485
1073,1014,post,234.33321007823503,93.76296545651621,136.15989616009125,ICL(R),0.850242
1074,3829,post,233.18557884230816,80.68328220387892,127.6037486105615,SCL(R),0.959026
1075,3838,post,232.86778719263313,80.65886219513258,127.9833283545729,SCL(R),0.954142
1076,7276,pre,241.3136406166039,103.91621601672475,141.7140536528895,ICL(R),0.981
1077,7239,pre,241.01842657120372,104.12948789691634,141.46821735942802,ICL(R),0.982
1078,7242,pre,241.6499066244411,104.03742300821179,141.53854474440166,ICL(R),0.992
1079,6335,post,207.15047036391704,97.78944984709511,151.45859504722688,PLP(R),0.922215
1080,3652,post,233.0099550834741,73.57586963791906,128.6027803830132,SCL(R),0.317924
1081,3531,post,236.65001831718854,73.5622276936672,130.50377732481394,SCL(R),0.362901
1082,5914,post,186.0847409510197,96.53467723070702,151.23369245526987,PLP(R),0.936711
1083,1336,post,216.41791651315359,106.01722429541128,142.88200522704798,PLP(R),0.577
1084,5921,post,189.5602607412852,96.24320369518128,152.00605171904408,PLP(R),0.45577863
1085,4587,post,234.8446231814479,85.17879242721351,131.57677160775447,SCL(R),0.463375
1086,4674,post,230.62177823656856,81.7699382129214,134.27799897201365,SCL(R),0.561181
1087,3781,post,234.4675491402447,78.33472273651782,132.89839963453883,SCL(R),0.429173
1088,4547,post,233.89894382165826,85.79271330028232,134.3830432188022,SCL(R),0.975523
1089,567,post,205.87905875452688,81.02644610791522,131.92817605447755,SCL(R),0.993077
1090,3421,post,231.7005714887507,75.50909337534408,120.81881991225302,SCL(R),0.45541435
1091,4335,post,212.40100362079696,75.86536444628705,136.57970964129873,SCL(R),0.467423
1092,4643,post,233.98084734563687,87.53540404342343,135.01414452877447,SCL(R),0.761644
1093,565,post,205.7495873428594,81.21917215648645,132.09069189016813,SCL(R),0.986383
1094,3190,post,235.2036626508862,67.34947040497912,120.8973942901406,SCL(R),0.929452
1095,9285,post,180.78473358700768,112.46214636325732,128.83621819521736,PLP(R),0.640443
1096,4612,post,234.43570583291444,88.78824813557517,132.42369237905967,SCL(R),0.939176
1097,4607,post,234.3831584188829,88.24989774911168,132.1097697893011,SCL(R),0.900361
1098,1650,post,224.71835281741875,101.06213802340233,140.95801026643696,ICL(R),0.882446
1099,569,post,205.55608798218435,80.96473577105779,131.52232713369563,SCL(R),0.45145783
1100,4192,post,211.17916216684318,75.21267655484417,135.11999496681776,SCL(R),0.998089
1101,8584,post,177.31182692807425,96.14586811462848,143.59671534864432,PLP(R),0.696439
1102,8598,post,175.6614720373524,94.09227716849422,145.0199241605423,PLP(R),0.554079
1103,1975,pre,242.0923842677712,93.97573972646637,144.46897505166072,ICL(R),0.975
1104,2067,pre,237.9948481494393,85.55532631120889,130.72091482210575,SCL(R),0.993
1105,7045,pre,228.89062822973943,110.83703000752826,146.09281298045022,ICL(R),0.982
1106,299,pre,199.34521884508354,119.12260640909943,131.5269285323037,PLP(R),0.996
1107,7076,pre,234.53705365172624,107.38289029121967,145.80175629459762,ICL(R),0.997
1108,3110,post,236.50366395177684,68.11617038534595,127.64412606018618,SCL(R),0.915577
1109,2915,post,230.9626961921009,74.68405689877822,113.18759859931497,SCL(R),0.368652
1110,7608,post,239.80414368539388,103.0471192543028,145.94159421691182,ICL(R),0.460851
1111,7160,post,254.19943922459998,97.3964961732896,144.0835338852484,ICL(R),0.938
1112,1940,post,239.06387516190426,91.40672898109177,138.41929586004244,ICL(R),0.978271
1113,769,post,199.7409510297586,118.97041162893277,131.04712253327673,PLP(R),0.969679
1114,1548,post,237.3029497806786,100.92559548723767,146.22400273194677,ICL(R),0.641523
1115,9524,post,178.72284168580384,95.25399716588892,97.36093217840418,AVLP(R),0.45072463
1116,5875,post,190.42887249492907,96.5055221037337,151.26727948687045,PLP(R),0.45651647
1117,7583,post,234.1873795924042,107.60883216696115,145.78095261561714,ICL(R),0.953456
1118,2869,post,230.5378923671939,74.22514305073004,112.65742113921792,SCL(R),0.920823
1119,1548,post,237.25060243937966,100.97002816114014,146.24191888840852,ICL(R),0.668982
1120,7615,post,240.87250354103213,102.2116358288998,146.33620204146553,ICL(R),0.929637
1121,4334,post,212.25384419737514,76.01624903518973,136.7444721439744,SCL(R),0.951602
1122,1894,post,244.98108818212165,68.78733202385291,125.25961428022015,SCL(R),0.662933
1123,1750,post,237.1647738011407,96.0761970307046,136.86791991893455,ICL(R),0.92591
1124,3034,post,234.5035353568429,68.90204604018064,120.65403536427192,SCL(R),0.936827
1125,3198,post,234.83348387846917,68.42485592316186,120.82163350882041,SCL(R),0.847
1126,3024,post,236.59464211476563,71.51010922904929,121.64352287232244,SCL(R),0.971601
1127,2123,post,238.2876321171313,80.97189302568403,127.81850532413232,SCL(R),0.99004
1128,1913,post,236.92131209371124,85.45118291229994,135.13603410832735,SCL(R),0.963663
1129,2676,post,235.79929905995732,69.27736364312193,122.04633610284485,SCL(R),0.967598
1130,7441,post,223.70477493533468,108.14592244827182,142.55703318258662,PLP(R),0.997901
1131,7148,post,254.93275386958265,97.40791797548039,143.07875824705917,ICL(R),0.990167
1132,2671,post,235.66417747895576,68.32960616751518,123.60357655131108,SCL(R),0.857055
1133,3116,post,235.7978298794133,69.37827751434709,123.77166373653762,SCL(R),0.958661
1134,3117,post,235.3314166897773,69.48178889487532,123.879884321596,SCL(R),0.999578
1135,1560,post,237.2479489677853,101.92530746390858,146.0937002755556,ICL(R),0.971803
1136,2673,post,235.86743309267166,68.90990162030675,123.06588360655374,SCL(R),0.284732
1137,2674,post,236.13832374727187,68.87350169852562,122.79176648208411,SCL(R),0.96214
1138,3069,post,235.1257022003512,68.72296909326604,122.91842056054082,SCL(R),0.831911
1139,3064,post,235.16284827687025,69.64120771893566,122.00365100254213,SCL(R),0.845775
1140,1917,post,237.76864080279339,88.43414863410158,135.5412603887203,SCL(R),0.80836
1141,3292,post,229.2107387444337,68.89102804058622,134.45651204000222,SCL(R),0.681219
1142,9322,post,174.69062497254578,106.30960772259738,125.54659811023137,PLP(R),0.830751
1143,9558,post,175.5888864089228,106.7284327905547,121.93853661260812,PLP(R),0.973062
1144,3451,post,229.01781370573218,68.78002964239789,134.33809190954062,SCL(R),0.844134
1145,2152,post,239.42817238066152,78.58611574564792,127.10862933904028,SCL(R),0.968234
